Qty,Value,Package,Designators,Notes
6,10uF,CASE-D5xL5.4,"C11, C12, C13, C14, C15, C16",""
1,10uF,C_AXIAL-0.2,"C0",""
6,33nF,C_AXIAL-0.2,"C1, C2, C3A, C3B, C4A, C4B",""
6,100nF,C_AXIAL-0.2,"C5, C6, C7, C8, C9, C10",""
1,LEDS,HDR-1X4,"J6","Optional panel indicators: LD1/LD2/LD3 are current-limited feeds that are live when the band is playing, so a bare LED from each to the GND pin is the whole loom"
4,20k,POT-ALPHA-16MM,"VR1A, VR1B, VR2A, VR2B","2 x dual-gang 20k linear pots (VR1, VR2); wired as rheostats"
3,10k log,RK097-AUDIO-10K,"VR3, VR4, VR5","3 x single-gang 10k audio/log-taper pots (VR3 HIGH, VR4 MID, VR5 LOW); wired as an attenuator between the filter output and its terminal block, not as a rheostat"
1,50k log,RK097-AUDIO-50K,"VR6","1 x single-gang 50k audio/log-taper pot (VR6 MASTER), ahead of the input buffer so it sets how hard the whole filter is driven, not just the output level"
1,47k,R_AXIAL-0.4,"R1","Sets the board's input impedance - see docs/design-review.md"
10,5.6k,R_AXIAL-0.4,"R2, R4, R5, R6, R12, R14, R15, R16, R20, R21",""
2,11k,R_AXIAL-0.4,"R3, R13","Sets filter Q (0.503); 11k2 = exact Q 0.5, 5k04 = Butterworth"
2,4.7k,R_AXIAL-0.4,"R7, R8",""
6,100R,R_AXIAL-0.4,"R9, R19, R22, R25, R26, R27","Build-out resistors: R9/R19/R22 from each filter into its volume pot, R25/R26/R27 from each output buffer into the interconnect"
7,10k,R_AXIAL-0.4,"R10, R11, R23, R24, R31, R32, R33","R10/R11/R23/R24 are the TP1/TP2 null network - optional"
2,13k,R_AXIAL-0.4,"R17, R18",""
3,100k,R_AXIAL-0.4,"R28, R29, R30","Output bleeders: hold each output at 0 V through its coupling capacitor when nothing is plugged into the terminal block"
4,1M,R_AXIAL-0.4,"R34, R35, R36, R40",""
3,2.2k,R_AXIAL-0.4,"R37, R38, R39",""
4,1N4148W,SOD-123,"D1, D2, D3, D4",""
12,MC33079,SOIC-14,"U1A, U1B, U1C, U1D, U2A, U2B, U2C, U2D, U3A, U3B, U3C, U3D","Quad op-amp packages, each drawn as four sections: U1 = filter 1, U2 = filter 2, U3 = output buffers (U3D spare, terminated). Any standard quad pinout fits: OPA1644, OPA4134, LME49740, TL074 - and a FET-input one removes the bias-current offset R1 develops"
3,MMBFJ111,SOT-23,"Q1, Q2, Q3",""
3,DPDT LOCK,SW-PS22E05,"SW1, SW2, SW3","G-Switch PS-22E05 (LCSC C2848949) right-angle push-lock DPDT, one per band, in the panel row. Pole A grounds the JFET gate; pole B switches that band's LED feed. Check the frame lugs are isolated from the contacts before ordering - the board grounds them"
1,IN,TB-2P-5.08,"J2","Signal input"
1,HIGH,TB-2P-5.08,"J3","Output terminal block to the treble amplifier"
1,MID,TB-2P-5.08,"J4","Output terminal block to the midrange amplifier"
1,LOW,TB-2P-5.08,"J5","Output terminal block to the bass amplifier"
1,PWR,TB-3P-5.08,"J1",""
2,TP,TESTPOINT,"TP1, TP2","Test points - optional, omit with R10/R11 and R23/R24"
